2025-03-27 12:02:21; CRITICAL; User Session Main; 13716; 9180] WMain Begin
2025-03-27 12:02:21; CRITICAL; User Session Main; 13716; 9180] Before manager initializing
2025-03-27 12:02:21; CRITICAL; User Session Manager; 13716; 9180] /------------User Session Helper start to initialize------------/
2025-03-27 12:02:21; CRITICAL; User Session Manager; 13716; 9180] /------------User Session Helper initialized: 0x00000000------------/
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:21; INFO; AEF Core; 13716; 18844] Loaded library v5.2.6.0 successfully in ush
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:21; INFO; SoulKey Plugin; 13716; 18844] Loaded library v5.2.0.0 successfully in ush
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:21; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:22; INFO; GameBoxPlugIn; 13716; 18844] Loaded library v5.9.8.0 successfully in ush
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:22; INFO; DeviceServicePlugin; 13716; 18844] Loaded library v5.2.6.0 successfully in ush
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:22; INFO; Aura Pluing; 13716; 18844] Loaded library v5.2.9.0 successfully in ush
2025-03-27 12:02:22; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
